time,open,high,low,close,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI
1639958400,2813.33052,2839.99716,2766.6639,2783.33055,2655.3306780000003,2777.7524127406205,2532.90894325938,2900.1741474812407,2410.48720851876,3022.595882221861,2288.0654737781397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14466914,18761598.3,57.38109521423461
1640044800,2833.3305,2859.99714,2806.66386,2849.99715,2671.6639950000003,2797.1385238938165,2546.189466106184,2922.613052787633,2420.7149372123677,3048.087581681449,2295.2404083185515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15385515,18666408.2,60.927794548091214
1640131200,2866.6638,2873.33046,2786.66388,2849.99715,2689.3306440000006,2813.7920263053006,2564.8692616947005,2938.253408610601,2440.4078793894,3062.714790915901,2315.9464970841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16651816,18940353.45,60.927794548091214
1640217600,2869.99713,2933.3304,2853.33048,2929.99707,2710.663956000001,2837.9500329064495,2583.377879093552,2965.2361098128986,2456.091802187103,3092.5221867193472,2328.8057252806543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22021222,19590769.1,64.98332449530129
1640304000,2933.3304,2963.33037,2886.66378,2923.33041,2733.9972660000008,2855.2113720401894,2612.783159959812,2976.4254780803776,2491.569053919624,3097.6395841205663,2370.3549478794353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17627417,19783369.3,64.38359097952832
1640563200,2946.66372,2963.33037,2896.66377,2909.99709,2753.6639130000012,2869.824126652461,2637.5036993475414,2985.984340304921,2521.3434856950817,3102.1445539573806,2405.183272042622,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13959613,19492924,63.12872288708192
1640649600,2916.66375,2919.99708,2849.99715,2899.9971,2775.330558000001,2875.2103860335255,2675.4507299664765,2975.0902140670496,2575.5709019329524,3074.970042100574,2475.691073899428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,14480714,19377888.9,62.15033226241725
1640736000,2906.66376,2939.99706,2896.66377,2923.33041,2794.997205000001,2882.604194732572,2707.39021526743,2970.211184465143,2619.783225534859,3057.818174197714,2532.176235802288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13442413,19285023.8,63.56911680293176
1640822400,2929.99707,2943.33039,2899.9971,2919.99708,2807.830525500001,2893.997428371718,2721.663622628284,2980.1643312434353,2635.4967197565666,3066.3312341151523,2549.3298168848496,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10527910,18480768,63.204623237088214
1641254400,2943.33039,3046.66362,2939.99706,3046.66362,2824.163842500001,2922.2672894677266,2726.0603955322754,3020.3707364354523,2627.9569485645497,3118.4741834031774,2529.8535015968246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25912825,18259217.75,70.19761464703187
1641340800,3073.33026,3149.99685,3033.3303,3066.6636,2843.330490000001,2949.186680865013,2737.4742991349895,3055.0428717300247,2631.6181082699777,3160.899062595037,2525.7619174049655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,27087027,18282497.8,71.13056880563644
1641427200,3049.99695,3113.33022,3033.3303,3049.99695,2857.1638095000008,2970.7627716013726,2743.564847398629,3084.361733702745,2629.9658852972566,3197.9606958041168,2516.3669231958847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17653517,18061967.55,69.18683764604312
1641513600,3099.9969,3113.33022,3046.66362,3109.99689,2875.9971240000013,2998.3879961941843,2753.6062518058184,3120.7788683883678,2631.215379611635,3243.1697405825507,2508.824507417452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16549516,17289106.75,72.13853021856656
1641859200,3133.3302,3133.3302,3056.66361,3096.66357,2894.4971055000015,3020.8178888584252,2768.1763221415777,3147.1386722168495,2641.8555387831534,3273.4594555752733,2515.5347554247296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17805317,17525716.95,70.52182601056663
1641945600,3116.66355,3243.33009,3086.66358,3233.3301,2920.8304125000013,3059.5381002155714,2782.1227247844313,3198.2457879311414,2643.4150370688612,3336.953475646711,2504.7073493532916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24747624,18227402.65,76.36800614596667
1642032000,3229.99677,3273.33006,3206.66346,3229.99677,2944.163722500001,3093.275295112468,2795.0521498875337,3242.3868677249357,2645.940577275066,3391.498440337403,2496.829004662599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18059118,18518087.95,75.97225021543028
1642118400,3223.33011,3263.33007,3193.33014,3256.66341,2970.330363000001,3125.925480112111,2814.735245887891,3281.520597224221,2659.140128775781,3437.115714336331,2503.5450116636707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17109317,18824628.3,76.99916465155451
1642377600,3283.33005,3293.33004,3219.99678,3233.3301,2997.997002000001,3148.622952107532,2847.37105189247,3299.248902215063,2696.745101784939,3449.874852322594,2546.119151677408,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15009615,18546678.05,74.01822910999373
1642464000,3233.3301,3259.99674,3179.99682,3213.33012,3017.163649500001,3169.571119386426,2864.7561796135765,3321.97858927285,2712.3487097271523,3474.3860591592747,2559.9412398407276,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,17388017,18023657.55,71.46438646430184
1642550400,3153.33018,3179.99682,2886.66378,2913.33042,3021.996978000001,3169.420633870549,2874.573322129453,3316.8442897410964,2727.1496662589057,3464.2679456116443,2579.7260103883577,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35515235,18570033.1,45.88832781969058
1642636800,2879.99712,2946.66372,2726.66394,2849.99715,3025.3303080000014,3167.996831999973,2882.66378400003,3310.6633559999445,2739.9972600000583,3453.3298799999166,2597.3307360000863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35043935,19598884.15,42.435543187342184
1642723200,2723.33061,2796.66387,2656.66401,2789.99721,3022.330311000001,3169.2205238265833,2875.440098173419,3316.110736653166,2728.549885346836,3463.000949479748,2581.659672520254,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31514431,20405329.95,39.41016870600336
1642982400,2729.99727,2899.9971,2723.33061,2886.66378,3024.1636425000006,3169.1074522419817,2879.2198327580195,3314.051261983963,2734.2760230160384,3458.9950717259444,2589.332213274057,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,28354828,20990480.55,46.079925983386566
