time,open,high,low,close,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Developing Poc,Developing VA High,Developing VA Low,Volume,Volume MA,RSI
1649229000,21.27,24.78,21.24,22.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.53674009575494
1649315400,21.97,23.82,21.12,21.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.24722855252805
1649401800,21.25,22.34,20.28,21.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.2760822619483
1649661000,23.09,24.42,22.09,24.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.46603687226875
1649747400,24.94,25.38,22.27,24.27,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.20903910058318
1649833800,23.52,24.45,21.37,21.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.62978312900723
1649920200,21.72,22.7,20.85,22.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.17435868583341
1650265800,24.52,24.6,21.98,22.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.744882915054944
1650352200,22.55,22.92,20.36,21.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.682433976392055
1650438600,21.13,21.32,19.75,20.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.94819620779642
1650525000,20.24,23.28,19.81,22.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.315188271084075
1650611400,22.71,28.27,22.62,28.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.60932509144196
1650870600,30.04,31.6,26.8,27.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.330470213367434
1650957000,27.38,33.81,27.06,33.51,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.26531374521585
1651043400,31.11,32.77,29.82,31.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.45286390663176
1651129800,29.91,32,28,29.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.65514052050485
1651216200,28.97,34.34,28.54,33.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.50130033211504
1651475400,33.35,36.64,31.74,32.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.00789611033215
1651561800,31.76,32.82,29.06,29.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.29724014491037
1651648200,29.12,29.42,24.94,25.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.31738544784264
1651734600,25.97,33.2,25.78,31.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.11495221520289
1651821000,32.23,35.34,29.83,30.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.3762171209865
1652080200,31.9,35.48,31.9,34.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.19717711328451
1652166600,33.66,34.84,32.24,32.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.047016732616626
1652253000,32.87,34.39,30.69,32.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.26697009056583
1652339400,33.74,34.76,31.7,31.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.783796266215546
1652425800,31.09,31.2,28.78,28.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.602749079700196
1652685000,30.01,30.23,27.36,27.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.2718772598661
1652771400,27.07,27.17,25.51,26.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.06825835295166
1652857800,26.74,31.49,26.21,30.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.14957214658239
1652944200,31.24,33.11,29.06,29.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.42351038332329
1653030600,28.78,32.91,28.06,29.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.52268898780628
1653289800,28.98,30.39,28.29,28.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.78934284516579
1653376200,29.43,31.07,29.04,29.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.5805246505217
1653462600,29.33,30.23,28.16,28.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.5023208315059
1653549000,28.42,28.46,27.11,27.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.76229229743318
1653635400,27.5,27.54,25.57,25.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.400770042864465
1653894600,26.16,26.81,26.08,26.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.276597433170295
1653981000,27.47,28.35,25.94,26.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.56988792865268
1654067400,26.05,27.73,25.38,25.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.52382308910992
1654153800,25.73,26.5,24.33,24.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.4862398742792
1654240200,24.91,25.96,24.76,24.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.74803932362438
1654499400,25.37,25.81,24.82,25.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.54749738921492
1654585800,25.54,26.24,23.88,24.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.099077184129634
1654672200,24.37,24.78,23.74,23.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.90669952346916
1654758600,24.29,26.24,23.82,26.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.89932429532535
1654845000,26.26,29.63,26.05,27.74,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.606238913479004
1655104200,31.37,35.05,31.29,34.03,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.37201937160187
1655190600,33.01,34,32.06,32.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.51392721606173
1655277000,32.39,32.77,27.76,29.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.817775188188016
1655363400,30.35,34.82,30.35,32.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.723336237832385
1655449800,32.84,33.31,30.47,31.12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.54285436364252
1655795400,30.63,30.65,29.33,30.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.50407482568568
1655881800,31.45,31.57,28.78,28.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.75619023154562
1655968200,29.29,29.77,28.74,29.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.97140655244931
1656054600,29.07,29.72,26.83,27.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.03123922227096
1656313800,28.3,28.66,26.93,26.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.38049641564734
1656400200,26.9,28.68,26.47,28.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.84331700076433
1656486600,28.8,29.36,27.85,28.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.349473205642795
1656573000,29.42,30.22,28.28,28.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.79332966801429
1656659400,29.53,29.59,26.69,26.71,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.7154950534131
1657005000,27.37,29.82,27.3,27.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.02140256715619
1657091400,27.84,28.07,26.43,26.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.94523533163894
1657177800,26.73,26.79,25.66,26.07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.29041714770888
1657264200,26.41,26.61,24.43,24.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.830584648220444
1657523400,26.42,26.74,25.79,26.16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.68912063734965
1657609800,27.14,27.75,25.82,27.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.032077961866385
1657696200,27.35,29.06,26.23,26.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.705071410950985
1657782600,27.47,28.45,26.2,26.41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.55038809485672
1657869000,26.72,26.72,24.13,24.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.736685192444384
1658128200,24.83,25.91,24.38,25.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.486917130037654
1658214600,25.12,25.41,24.23,24.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.31122291489017
1658301000,24.23,24.73,23.4,23.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.70959862324127
1658387400,24.07,24.67,22.92,23.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.74787991683854
1658473800,23.3,23.81,22.41,23.04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.59182393289508
1658733000,24.33,24.57,23.19,23.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.93777425245697
1658819400,23.95,25.31,23.82,24.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.46090575121711
1658905800,24.27,24.41,23.02,23.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.03097586841414
1658992200,23.33,23.54,22.22,22.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.49567896860939
1659078600,22.13,22.16,21.21,21.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.872533811660105
1659337800,22.41,23.27,22.26,22.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.345718769856944
1659424200,24.08,24.68,22.67,23.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.48981772113938
1659510600,23.86,23.92,21.68,21.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40.70797545371204
1659597000,22.06,22.66,21.44,21.44,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.38908424813956
1659683400,21.5,22.58,20.76,21.14,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.58139677240277
1659942600,21.74,22.01,20.83,21.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,39.20787538708155
1660029000,21.41,22.23,21.41,21.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.41433295104806
1660115400,22.28,22.34,19.54,19.73,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.53945898979815
1660201800,19.84,20.85,19.71,20.19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.696252317113604
1660288200,20.34,20.35,19.12,19.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.81650512082314
1660547400,20.74,21.16,19.81,19.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.90678568861632
1660633800,20.23,20.39,19.5,19.68,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.1012614034072
1660720200,19.74,20.63,19.41,19.91,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,38.34933054828124
1660806600,20.51,20.61,19.43,19.57,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,37.175018102612306
1660893000,20.16,21.27,20.08,20.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.83081512332339
1661152200,22.41,24.62,22.39,23.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.22763782778408
1661238600,24.13,24.21,23.07,24.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.20039924601498
1661325000,24.37,24.86,22.73,22.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.77403692049443
